ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH133901000,NCR,1st district,Tondo,3.14,0.64,20.38,2.9,0.8,27.5,4.1,0.5,12.6
PH133902000,NCR,1st district,Binondo,1.48,0.62,41.89,1.0,0.7,68.0,1.8,0.3,18.1
PH133903000,NCR,1st district,Quiapo,2.1,0.59,28.10,2.1,0.9,42.4,5.3,0.4,7.9
PH133904000,NCR,1st district,San Nicolas,2.95,1.58,53.56,2.4,1.4,57.0,4.9,0.5,9.6
PH133905000,NCR,1st district,Santa Cruz,1.49,0.29,19.46,1.7,0.5,32.5,4.3,0.6,14.3
PH133906000,NCR,1st district,Sampaloc,0.77,0.19,24.68,1.3,0.3,23.6,5.8,0.7,11.9
PH133907000,NCR,1st district,San Miguel,1.19,0.87,73.11,1.4,0.9,67.4,3.1,1.5,47.2
PH133908000,NCR,1st district,Ermita,0.9,0.43,47.78,1.5,1.0,68.7,4.4,2.5,56.4
PH133909000,NCR,1st district,Intramuros,2.48,1.23,49.60,2.5,1.2,48.0,3.0,0.6,20.9
PH133910000,NCR,1st district,Malate,1.31,0.35,26.72,1.8,0.5,29.1,6.4,0.6,8.9
PH133911000,NCR,1st district,Paco,0.9,0.28,31.11,1.8,0.6,31.3,6.0,0.4,5.8
PH133912000,NCR,1st district,Pandacan,1.56,0.4,25.64,1.9,0.6,33.0,6.0,0.5,7.8
PH133913000,NCR,1st district,Port Area,10.03,4.53,45.16,11.9,6.8,57.5,13.2,2.0,15.2
PH133914000,NCR,1st district,Santa Ana,1.27,0.35,27.56,2.2,0.6,29.0,4.7,0.8,17.8
PH137401000,NCR,2nd district,Mandaluyong  City,1.28,0.42,32.81,1.8,0.8,45.1,6.1,1.1,17.6
PH137402000,NCR,2nd district,Marikina  City,1.41,0.43,30.50,2.2,0.9,41.1,6.0,0.7,11.9
PH137403000,NCR,2nd district,Pasig City,1.83,0.45,24.59,2.2,0.8,37.3,5.0,0.5,9.5
PH137404000,NCR,2nd district,Quezon City,1.62,0.3,18.52,2.4,0.6,25.3,4.1,0.7,16.0
PH137405000,NCR,2nd district,San Juan,0.28,0.17,60.71,1.5,0.6,42.5,2.9,2.0,67.0
PH137501000,NCR,3rd district,Kalookan City,2.84,0.55,19.37,3.1,0.9,28.2,5.0,1.0,19.1
PH137502000,NCR,3rd district,Malabon,3.84,0.88,22.92,4.0,1.7,41.4,6.1,1.0,15.8
PH137503000,NCR,3rd district,Navotas,6,1.63,27.17,3.8,1.8,48.4,6.2,1.4,22.6
PH137504000,NCR,3rd district,Valenzuela  City,2.29,0.53,23.14,3.7,1.3,33.4,5.1,1.1,21.1
PH137601000,NCR,4th district,Las Pi–as  City,1.37,0.44,32.12,2.8,1.0,37.8,3.9,1.0,25.5
PH137602000,NCR,4th district,Makati  City,0.46,0.22,47.83,1.4,0.6,42.3,2.9,0.6,20.5
PH137603000,NCR,4th district,Muntinlupa  City,1.89,0.56,29.63,2.4,1.2,49.6,4.9,1.0,20.3
PH137604000,NCR,4th district,Para–aque  City,1.13,0.42,37.17,2.0,1.0,41.9,5.5,0.5,8.6
PH137605000,NCR,4th district,Pasay City,1.94,0.31,15.98,1.7,0.5,26.4,5.3,0.6,11.0
PH137606000,NCR,4th district,Pateros,2.41,1.04,43.15,3.0,1.9,64.9,8.2,2.2,27.3
PH137607000,NCR,4th district,Taguig,2.38,0.56,23.53,2.7,1.1,41.5,4.3,0.8,19.3
PH140101000,CAR,Abra,Bangued,10.86,2.89,26.61,16.8,2.1,12.7,16.6,3.4,26.9
PH140102000,CAR,Abra,Boliney,65.98,7.58,11.49,50.6,9.5,18.9,76.0,9.2,22.9
PH140103000,CAR,Abra,Bucay,37.62,5.75,15.28,36.2,5.8,16.1,42.6,6.4,22.1
PH140104000,CAR,Abra,Bucloc,42.11,8.7,20.66,77.2,10.1,13.0,58.0,9.5,26.4
PH140105000,CAR,Abra,Daguioman,37,8.71,23.54,32.2,8.8,27.3,46.8,10.5,32.4
PH140106000,CAR,Abra,Danglas,32.68,6.54,20.01,32.0,7.3,22.8,40.2,6.5,25.5
PH140107000,CAR,Abra,Dolores,23.6,4.93,20.89,33.5,5.0,15.0,23.7,5.1,28.7
PH140108000,CAR,Abra,La Paz,28.13,5.41,19.23,36.0,5.4,14.9,37.6,6.8,25.4
PH140109000,CAR,Abra,Lacub,57.75,7.72,13.37,67.2,9.5,14.2,58.8,8.2,22.5
PH140110000,CAR,Abra,Lagangilang,28.48,5.13,18.01,27.5,4.5,16.5,30.1,6.1,27.9
PH140111000,CAR,Abra,Lagayan,42.23,7.92,18.75,41.4,7.8,18.8,35.0,8.5,34.3
PH140112000,CAR,Abra,Langiden,40.75,7.87,19.31,46.0,8.1,17.6,44.1,8.8,29.8
PH140113000,CAR,Abra,Licuan-Baay (Licuan),45.86,6.52,14.22,46.7,8.4,18.0,39.7,8.0,26.5
PH140114000,CAR,Abra,Luba,44.78,6.92,15.45,36.2,6.7,18.5,50.5,8.4,26.3
PH140115000,CAR,Abra,Malibcong,51.54,6.59,12.79,55.6,8.8,15.8,48.9,6.8,20.2
PH140116000,CAR,Abra,Manabo,30.81,5.63,18.27,34.9,6.9,19.8,33.3,6.7,29.6
PH140117000,CAR,Abra,Pe–arrubia,30.96,5.6,18.09,35.7,7.0,19.6,29.6,7.6,33.7
PH140118000,CAR,Abra,Pidigan,23.08,4.96,21.49,25.9,4.9,18.9,22.7,5.7,32.9
PH140119000,CAR,Abra,Pilar,38.43,5.74,14.94,42.8,6.2,14.4,41.0,6.8,23.0
PH140120000,CAR,Abra,Sallapadan,43.21,7.18,16.62,62.0,8.2,13.2,25.5,6.0,31.3
PH140121000,CAR,Abra,San Isidro,42.33,6.96,16.44,42.3,6.7,15.9,50.8,7.0,21.3
PH140122000,CAR,Abra,San Juan,21.95,4.75,21.64,33.7,6.6,19.7,40.2,6.4,23.0
PH140123000,CAR,Abra,San Quintin,22.5,5.96,26.49,28.7,6.7,23.3,21.0,6.8,41.0
PH140124000,CAR,Abra,Tayum,23.38,5.03,21.51,23.7,4.4,18.7,23.4,5.7,32.6
PH140125000,CAR,Abra,Tineg,78.27,6.19,7.91,43.2,8.6,19.9,62.9,7.5,20.4
PH140126000,CAR,Abra,Tubo,51.66,7.41,14.34,56.4,9.4,16.6,53.3,8.3,23.3
PH140127000,CAR,Abra,Villaviciosa,39.16,6.9,17.62,49.1,7.7,15.7,49.7,8.3,25.2
